City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
0,New Norfolk,-42.7826,147.0587,63.91,48,9,3.0,AU,clear sky,2022-10-20 04:46:21
1,Ushuaia,-54.8,-68.3,37.06,81,75,14.97,AR,broken clouds,2022-10-20 04:45:52
2,Tuktoyaktuk,69.4541,-133.0374,26.6,86,100,6.91,CA,overcast clouds,2022-10-20 04:43:52
3,Jamestown,42.097,-79.2353,37.06,95,100,12.66,US,overcast clouds,2022-10-20 04:46:22
4,Thompson,55.7435,-97.8558,32.16,100,100,3.44,CA,fog,2022-10-20 04:46:22
5,Valentin Gomez Farias,28.2167,-106.5833,53.44,80,1,3.85,MX,clear sky,2022-10-20 04:46:22
6,Ribeira Grande,38.5167,-28.7,62.78,81,92,4.0,PT,overcast clouds,2022-10-20 04:46:23
7,Qaanaaq,77.484,-69.3632,-1.14,62,0,12.55,GL,clear sky,2022-10-20 04:46:23
8,Bambous Virieux,-20.3428,57.7575,76.21,68,20,5.75,MU,few clouds,2022-10-20 04:43:08
9,Kapaa,22.0752,-159.319,75.18,77,100,13.8,US,overcast clouds,2022-10-20 04:46:24
10,Saskylakh,71.9167,114.0833,1.56,94,29,2.59,RU,scattered clouds,2022-10-20 04:43:17
11,Mataura,-46.1927,168.8643,50.41,67,62,13.49,NZ,broken clouds,2022-10-20 04:46:24
12,Pevek,69.7008,170.3133,28.96,90,100,3.62,RU,overcast clouds,2022-10-20 04:46:24
13,La Grande,45.3246,-118.0877,66.06,37,0,1.88,US,clear sky,2022-10-20 04:44:25
14,Ongandjera,-17.8833,15.0667,73.35,35,29,5.01,NA,scattered clouds,2022-10-20 04:46:25
15,Vostok,46.4856,135.8833,46.6,54,0,12.82,RU,clear sky,2022-10-20 04:46:25
16,Cidreira,-30.1811,-50.2056,62.76,94,81,6.22,BR,broken clouds,2022-10-20 04:46:25
17,Busselton,-33.65,115.3333,64.36,70,97,15.99,AU,overcast clouds,2022-10-20 04:46:26
18,Sitka,57.0531,-135.33,51.69,76,100,13.8,US,overcast clouds,2022-10-20 04:46:26
19,Punta Arenas,-53.15,-70.9167,37.51,81,40,20.71,CL,light rain,2022-10-20 04:42:27
20,Flin Flon,54.7682,-101.865,45.25,82,98,6.82,CA,overcast clouds,2022-10-20 04:46:27
21,Yerbogachen,61.2767,108.0108,32.54,72,93,8.23,RU,overcast clouds,2022-10-20 04:46:27
22,Bluff,-46.6,168.3333,49.3,68,39,26.06,NZ,scattered clouds,2022-10-20 04:46:27
23,Hirara,24.8,125.2833,82.26,73,75,23.02,JP,broken clouds,2022-10-20 04:46:28
24,Upernavik,72.7868,-56.1549,17.15,89,100,8.79,GL,overcast clouds,2022-10-20 04:46:28
25,Castro,-24.7911,-50.0119,60.42,96,96,4.16,BR,overcast clouds,2022-10-20 04:46:28
26,Carauari,-4.8828,-66.8958,73.63,99,100,1.79,BR,overcast clouds,2022-10-20 04:46:29
27,Lebu,-37.6167,-73.65,49.53,89,42,4.7,CL,scattered clouds,2022-10-20 04:42:59
28,Atuona,-9.8,-139.0333,76.89,75,6,13.71,PF,clear sky,2022-10-20 04:42:32
29,Kavieng,-2.5744,150.7967,85.57,67,92,8.41,PG,overcast clouds,2022-10-20 04:46:30
30,Saint-Philippe,-21.3585,55.7679,74.79,74,15,11.16,RE,few clouds,2022-10-20 04:46:30
31,Hithadhoo,-0.6,73.0833,80.51,76,92,8.5,MV,overcast clouds,2022-10-20 04:46:30
32,Rio Grande,-32.035,-52.0986,61.02,91,35,6.82,BR,scattered clouds,2022-10-20 04:46:30
33,Pachperwa,27.5167,82.65,79.05,57,0,2.04,IN,clear sky,2022-10-20 04:46:31
34,Picton,-34.1833,150.6,68.76,86,100,4.65,AU,moderate rain,2022-10-20 04:46:31
35,Severo-Kurilsk,50.6789,156.125,43.23,75,63,26.8,RU,light rain,2022-10-20 04:46:32
36,Great Bend,38.3645,-98.7648,50.61,60,0,3.44,US,clear sky,2022-10-20 04:46:12
37,Karakol,42.4907,78.3936,41.41,68,72,2.1,KG,broken clouds,2022-10-20 04:46:32
38,Iqaluit,63.7506,-68.5145,26.33,68,100,24.16,CA,overcast clouds,2022-10-20 04:46:32
39,Bunbury,-33.3333,115.6333,63.07,81,97,15.03,AU,overcast clouds,2022-10-20 04:46:04
40,Bereda,43.2686,-7.5406,56.41,78,8,9.78,ES,clear sky,2022-10-20 04:46:33
41,Vaini,-21.2,-175.2,73.56,100,75,5.75,TO,broken clouds,2022-10-20 04:46:33
42,Puerto Ayora,-0.7393,-90.3518,67.48,82,72,8.9,EC,broken clouds,2022-10-20 04:46:34
43,Cayenne,4.9333,-52.3333,77.04,94,20,1.14,GF,few clouds,2022-10-20 04:46:34
44,Goderich,43.7501,-81.7165,42.91,70,100,19.57,CA,overcast clouds,2022-10-20 04:43:29
45,Rikitea,-23.1203,-134.9692,71.01,72,100,18.92,PF,overcast clouds,2022-10-20 04:47:34
46,Nikolskoye,59.7035,30.7861,35.49,93,86,5.26,RU,overcast clouds,2022-10-20 04:42:54
47,Mahebourg,-20.4081,57.7,76.24,68,20,5.75,MU,few clouds,2022-10-20 04:47:35
48,Tual,-5.6667,132.75,84.07,72,80,3.8,ID,broken clouds,2022-10-20 04:42:48
49,Kedrovyy,56.1667,91.8167,39.87,73,99,6.62,RU,overcast clouds,2022-10-20 04:47:35
50,Hobart,-42.8794,147.3294,64.27,69,20,14.97,AU,few clouds,2022-10-20 04:47:07
51,Port Elizabeth,-33.918,25.5701,69.1,88,20,27.63,ZA,few clouds,2022-10-20 04:47:36
52,Naze,28.3667,129.4833,77.92,60,9,23.04,JP,clear sky,2022-10-20 04:43:35
53,Gizo,-8.103,156.8419,84.9,67,82,7.7,SB,broken clouds,2022-10-20 04:47:36
54,Port Augusta,-32.5,137.7667,71.38,54,64,18.43,AU,broken clouds,2022-10-20 04:44:14
55,Narsaq,60.9167,-46.05,34.02,74,5,6.22,GL,clear sky,2022-10-20 04:47:36
56,Cape Town,-33.9258,18.4232,62.11,84,20,1.14,ZA,few clouds,2022-10-20 04:47:30
57,Bredasdorp,-34.5322,20.0403,59.02,84,30,7.43,ZA,scattered clouds,2022-10-20 04:43:14
58,Hermanus,-34.4187,19.2345,60.8,86,11,8.84,ZA,few clouds,2022-10-20 04:47:37
59,Vanimo,-2.6741,141.3028,84.2,70,97,6.85,PG,overcast clouds,2022-10-20 04:45:14
60,Norman Wells,65.282,-126.8329,30.24,93,100,6.91,CA,light snow,2022-10-20 04:47:37
61,Broome,42.2506,-75.833,41.7,81,75,9.22,US,broken clouds,2022-10-20 04:47:38
62,Concordia,-31.393,-58.0209,67.78,85,71,4.0,AR,broken clouds,2022-10-20 04:47:38
63,Butaritari,3.0707,172.7902,82.4,69,46,10.85,KI,scattered clouds,2022-10-20 04:47:39
64,Saquarema,-22.92,-42.5103,69.78,93,100,12.37,BR,overcast clouds,2022-10-20 04:47:39
65,Churapcha,62.0025,132.4325,21.96,89,100,9.98,RU,light snow,2022-10-20 04:47:39
66,Torata,-17.0769,-70.8433,51.64,35,76,1.05,PE,broken clouds,2022-10-20 04:47:40
67,Port Alfred,-33.5906,26.891,69.19,74,66,8.99,ZA,broken clouds,2022-10-20 04:47:40
68,Zhanaozen,43.3,52.8,58.01,49,84,22.55,KZ,broken clouds,2022-10-20 04:47:40
69,Albany,42.6001,-73.9662,41.41,83,62,5.93,US,broken clouds,2022-10-20 04:43:41
70,Nha Trang,12.25,109.1833,82.4,83,100,6.8,VN,overcast clouds,2022-10-20 04:47:08
71,Avarua,-21.2078,-159.775,75.25,83,40,10.36,CK,scattered clouds,2022-10-20 04:42:50
72,Otjimbingwe,-22.35,16.1333,72.18,49,5,0.49,NA,clear sky,2022-10-20 04:47:41
73,Kontagora,10.3999,5.4695,69.22,60,21,1.99,NG,few clouds,2022-10-20 04:47:41
74,Moroto,2.5345,34.6666,70.83,58,98,6.29,UG,overcast clouds,2022-10-20 04:47:42
75,Tacuarembo,-31.7333,-55.9833,60.85,94,99,7.05,UY,overcast clouds,2022-10-20 04:47:42
76,Bogoslovka,53.2084,44.8013,44.11,47,100,6.62,RU,overcast clouds,2022-10-20 04:47:43
77,Margate,51.3813,1.3862,60.91,92,100,3.0,GB,overcast clouds,2022-10-20 04:43:41
78,Atambua,-9.1061,124.8925,84.96,64,96,4.52,ID,overcast clouds,2022-10-20 04:47:43
79,Balkanabat,39.5108,54.3671,74.26,24,3,8.1,TM,clear sky,2022-10-20 04:47:44
80,Yellowknife,62.456,-114.3525,45.12,87,75,9.22,CA,broken clouds,2022-10-20 04:47:44
81,Guerrero Negro,27.9769,-114.0611,72.46,74,8,6.51,MX,clear sky,2022-10-20 04:47:44
82,Muscat,23.6139,58.5922,82.42,34,25,0.81,OM,scattered clouds,2022-10-20 04:47:45
83,Bukama,-9.2,25.85,74.48,69,98,0.81,CD,overcast clouds,2022-10-20 04:47:45
84,Wilmington,34.2257,-77.9447,50.86,89,0,1.01,US,clear sky,2022-10-20 04:47:45
85,Torzhok,57.0436,34.9622,37.53,90,96,5.55,RU,overcast clouds,2022-10-20 04:47:46
86,Sambava,-14.2667,50.1667,74.55,61,62,14.03,MG,broken clouds,2022-10-20 04:44:01
87,Nelson Bay,-32.7167,152.15,72.09,93,100,11.01,AU,moderate rain,2022-10-20 04:47:46
88,Da Lat,11.9465,108.4419,68.68,86,96,2.39,VN,overcast clouds,2022-10-20 04:46:01
89,Mishan,45.55,131.8833,59.07,29,15,15.23,CN,few clouds,2022-10-20 04:47:47
90,Dikson,73.5069,80.5464,32.47,98,100,22.19,RU,light snow,2022-10-20 04:47:47
91,Tiksi,71.6872,128.8694,14.7,87,62,16.46,RU,broken clouds,2022-10-20 04:47:47
92,Bethel,41.3712,-73.414,49.55,74,0,9.22,US,clear sky,2022-10-20 04:48:48
93,Ilulissat,69.2167,-51.1,28.42,74,100,6.91,GL,overcast clouds,2022-10-20 04:48:48
94,Hosakote,14.2769,77.1699,80.17,66,46,6.64,IN,scattered clouds,2022-10-20 04:48:48
95,Saint Anthony,45.0205,-93.218,41.32,43,0,3.44,US,clear sky,2022-10-20 04:44:23
96,Kaitangata,-46.2817,169.8464,51.91,64,59,18.14,NZ,broken clouds,2022-10-20 04:48:49
97,Chokurdakh,70.6333,147.9167,2.44,97,100,5.93,RU,overcast clouds,2022-10-20 04:48:49
98,Mar Del Plata,-38.0023,-57.5575,59.95,94,100,11.01,AR,overcast clouds,2022-10-20 04:48:14
99,Ahuimanu,21.4447,-157.8378,73.11,94,75,5.75,US,heavy intensity rain,2022-10-20 04:48:50
100,Ayagoz,47.9714,80.4392,46.02,45,100,27.96,KZ,overcast clouds,2022-10-20 04:48:50
101,Kokopo,-4.352,152.2633,86.76,58,32,7.76,PG,scattered clouds,2022-10-20 04:48:50
102,Ponta Do Sol,32.6667,-17.1,75.0,93,100,12.17,PT,moderate rain,2022-10-20 04:48:51
103,Hilo,19.7297,-155.09,80.33,83,100,4.61,US,overcast clouds,2022-10-20 04:48:51
104,Trairi,-3.2778,-39.2689,78.15,82,31,14.83,BR,scattered clouds,2022-10-20 04:45:27
105,East London,-33.0153,27.9116,68.94,88,0,12.66,ZA,clear sky,2022-10-20 04:48:52
106,Ambon,-3.6954,128.1814,89.74,66,40,5.75,ID,scattered clouds,2022-10-20 04:48:52
107,Caravelas,-17.7125,-39.2481,72.05,82,39,6.38,BR,scattered clouds,2022-10-20 04:48:52
108,Taltal,-25.4,-70.4833,59.14,70,0,0.31,CL,clear sky,2022-10-20 04:48:53
109,Marawi,7.9986,124.2928,77.52,83,99,1.99,PH,overcast clouds,2022-10-20 04:48:53
110,Garissa,-0.4536,39.6401,77.38,71,85,15.61,KE,overcast clouds,2022-10-20 04:48:53
111,Gambo,4.6482,22.2633,69.46,99,100,1.28,CF,moderate rain,2022-10-20 04:45:18
112,Sao Felix Do Xingu,-6.6447,-51.995,73.65,74,9,2.17,BR,clear sky,2022-10-20 04:48:36
113,Longyearbyen,78.2186,15.6401,28.24,64,40,17.27,SJ,scattered clouds,2022-10-20 04:48:54
114,Constitucion,-35.3333,-72.4167,50.94,92,22,7.65,CL,few clouds,2022-10-20 04:48:55
115,Arlit,18.7369,7.3853,73.96,25,0,5.82,NE,clear sky,2022-10-20 04:48:55
116,Lazaro Cardenas,17.9583,-102.2,77.97,87,100,2.55,MX,light rain,2022-10-20 04:46:54
117,Ambanja,-13.6833,48.45,78.73,54,87,1.32,MG,overcast clouds,2022-10-20 04:48:56
118,Teguldet,57.3064,88.1667,41.34,75,100,9.57,RU,overcast clouds,2022-10-20 04:48:56
119,Fallon,39.4735,-118.7774,55.27,35,0,4.61,US,clear sky,2022-10-20 04:47:04
120,Moose Factory,51.2585,-80.6094,33.8,93,75,3.44,CA,broken clouds,2022-10-20 04:48:56
121,Teahupoo,-17.8333,-149.2667,73.36,77,11,12.33,PF,few clouds,2022-10-20 04:48:57
122,La Asuncion,11.0333,-63.8628,82.13,94,4,12.66,VE,clear sky,2022-10-20 04:48:57
123,Portel,-1.9356,-50.8211,75.0,92,51,5.01,BR,broken clouds,2022-10-20 04:48:58
124,Sioux Lookout,50.1001,-91.917,26.67,86,40,2.3,CA,scattered clouds,2022-10-20 04:48:58
125,Souillac,-20.5167,57.5167,73.78,68,20,5.75,MU,few clouds,2022-10-20 04:48:58
126,Arraial Do Cabo,-22.9661,-42.0278,71.04,91,100,27.81,BR,overcast clouds,2022-10-20 04:48:59
127,Nome,64.5011,-165.4064,35.67,93,40,12.66,US,scattered clouds,2022-10-20 04:48:59
128,Mendi,-6.1761,143.6513,63.77,89,98,3.15,PG,overcast clouds,2022-10-20 04:49:00
129,Olafsvik,64.8945,-23.7142,43.43,80,97,19.84,IS,overcast clouds,2022-10-20 04:49:00
130,Tasiilaq,65.6145,-37.6368,33.96,98,100,6.67,GL,snow,2022-10-20 04:49:01
131,Sedhiou,12.7081,-15.5569,74.66,94,89,4.18,SN,overcast clouds,2022-10-20 04:49:01
132,Alice Springs,-23.7,133.8833,88.21,40,0,5.75,AU,clear sky,2022-10-20 04:45:28
133,San Jose,37.3394,-121.895,74.44,41,20,3.44,US,smoke,2022-10-20 04:46:00
134,Ankazobe,-18.3167,47.1167,64.04,58,47,8.37,MG,scattered clouds,2022-10-20 04:49:02
135,Luderitz,-26.6481,15.1594,60.44,81,45,18.5,NA,scattered clouds,2022-10-20 04:49:02
136,Santa Lucia,27.9117,-15.5407,61.92,83,20,9.22,ES,few clouds,2022-10-20 04:50:02
137,Kirakira,-10.4544,161.9205,84.63,74,89,8.5,SB,overcast clouds,2022-10-20 04:50:03
138,Kruisfontein,-34.0033,24.7314,66.88,75,39,22.06,ZA,scattered clouds,2022-10-20 04:50:03
139,Qaqortoq,60.7167,-46.0333,29.75,63,0,8.59,GL,clear sky,2022-10-20 04:50:04
140,Paso De Los Toros,-32.8167,-56.5167,60.69,94,100,10.76,UY,overcast clouds,2022-10-20 04:50:04
141,Vestmannaeyjar,63.4427,-20.2734,43.88,73,100,11.39,IS,overcast clouds,2022-10-20 04:50:04
142,Solnechnyy,50.7214,136.6319,47.77,45,78,9.13,RU,broken clouds,2022-10-20 04:50:05
143,Gao,16.6362,1.637,75.6,22,1,12.62,ML,clear sky,2022-10-20 04:50:05
144,Saint George,37.1041,-113.5841,70.95,24,0,1.99,US,clear sky,2022-10-20 04:48:16
145,Houma,29.5958,-90.7195,46.99,89,0,0.0,US,clear sky,2022-10-20 04:50:06
146,Villazon,-22.0866,-65.5942,41.14,10,0,7.87,BO,clear sky,2022-10-20 04:50:06
147,Srednekolymsk,67.45,153.6833,16.93,92,100,21.18,RU,light snow,2022-10-20 04:45:25
148,Sorong,-0.8833,131.25,85.12,68,51,3.36,ID,broken clouds,2022-10-20 04:50:07
149,Astoria,46.1879,-123.8313,56.59,93,0,6.91,US,clear sky,2022-10-20 04:45:24
150,San Patricio,28.017,-97.5169,65.84,45,0,7.0,US,clear sky,2022-10-20 04:50:07
151,Carnarvon,-24.8667,113.6333,72.45,61,1,12.84,AU,clear sky,2022-10-20 04:50:07
152,Minden,52.2833,8.9167,48.42,71,75,8.05,DE,broken clouds,2022-10-20 04:50:08
153,Bilara,26.1792,73.7056,86.88,33,12,7.81,IN,few clouds,2022-10-20 04:50:08
154,Barrow,71.2906,-156.7887,28.42,93,100,13.8,US,light snow,2022-10-20 04:50:09
155,Yarmouth,41.7057,-70.2286,51.96,77,40,5.01,US,scattered clouds,2022-10-20 04:50:09
156,Nalut,30.3333,10.85,59.76,68,0,8.05,LY,clear sky,2022-10-20 04:50:09
157,Soledade,-28.8183,-52.5103,58.21,96,100,2.95,BR,moderate rain,2022-10-20 04:49:46
158,Birao,10.2849,22.7882,72.18,51,50,2.73,CF,scattered clouds,2022-10-20 04:50:10
159,Saldanha,-33.0117,17.9442,50.05,86,20,7.29,ZA,few clouds,2022-10-20 04:50:10
160,Mehamn,71.0357,27.8492,37.31,74,100,33.82,NO,overcast clouds,2022-10-20 04:50:11
161,Hackettstown,40.854,-74.8291,43.03,78,11,0.0,US,few clouds,2022-10-20 04:48:02
162,Puerto Carreno,6.189,-67.4859,76.78,88,82,3.85,CO,broken clouds,2022-10-20 04:50:11
163,Plouzane,48.3833,-4.6167,55.72,94,0,9.22,FR,clear sky,2022-10-20 04:50:11
164,Isangel,-19.55,169.2667,80.71,78,75,4.61,VU,broken clouds,2022-10-20 04:50:12
165,Tessalit,20.1986,1.0114,75.88,25,81,10.96,ML,broken clouds,2022-10-20 04:50:12
166,Termoli,41.9888,14.9895,64.78,75,0,6.11,IT,clear sky,2022-10-20 04:50:13
167,Bengkulu,-3.8004,102.2655,81.93,72,100,7.23,ID,overcast clouds,2022-10-20 04:50:13
168,Negombo,7.2083,79.8358,84.25,74,40,10.36,LK,scattered clouds,2022-10-20 04:50:14
169,Takoradi,4.8845,-1.7554,75.99,90,40,5.46,GH,scattered clouds,2022-10-20 04:50:14
170,Havre-Saint-Pierre,50.2334,-63.5986,52.16,100,100,13.8,CA,mist,2022-10-20 04:50:14
171,Palana,59.1167,159.9667,25.25,78,100,8.63,RU,light snow,2022-10-20 04:50:15
172,Zhigansk,66.7697,123.3711,15.08,89,99,1.95,RU,overcast clouds,2022-10-20 04:50:15
173,Shu,43.5983,73.7614,52.52,43,28,5.03,KZ,scattered clouds,2022-10-20 04:47:25
174,Terrace Bay,48.7834,-87.1,32.86,65,100,10.0,CA,overcast clouds,2022-10-20 04:50:16
175,Palauig,15.435,119.9045,81.0,80,100,2.68,PH,overcast clouds,2022-10-20 04:50:16
176,Kahului,20.8947,-156.47,80.62,72,40,6.91,US,scattered clouds,2022-10-20 04:45:34
177,Kimberley,-28.7323,24.7623,64.09,68,0,9.22,ZA,clear sky,2022-10-20 04:50:17
178,Ellensburg,46.9965,-120.5479,58.19,66,0,0.0,US,clear sky,2022-10-20 04:50:51
179,Labuhan,-6.8844,112.2051,85.75,66,78,5.01,ID,light rain,2022-10-20 04:51:17
180,Beloha,-25.1667,45.05,78.48,52,0,11.59,MG,clear sky,2022-10-20 04:51:18
181,Esperance,-33.8667,121.9,66.24,75,86,19.82,AU,overcast clouds,2022-10-20 04:51:18
182,Saint-Francois,46.4154,3.9054,58.44,94,99,2.3,FR,light rain,2022-10-20 04:51:18
183,Paarl,-33.7338,18.9752,61.02,83,81,1.66,ZA,broken clouds,2022-10-20 04:51:19
184,Noyabrsk,63.1994,75.4507,36.64,96,100,15.95,RU,light rain,2022-10-20 04:51:19
185,Wick,58.4333,-3.0833,50.05,76,75,21.85,GB,broken clouds,2022-10-20 04:51:20
186,Airai,-8.9266,125.4092,74.68,66,93,1.23,TL,overcast clouds,2022-10-20 04:51:20
187,Vila Velha,-20.3297,-40.2925,69.94,98,75,0.0,BR,broken clouds,2022-10-20 04:51:20
188,Victoria,22.2855,114.1577,80.96,62,65,11.01,HK,broken clouds,2022-10-20 04:48:12
189,Ancud,-41.8697,-73.8203,54.23,98,100,18.63,CL,moderate rain,2022-10-20 04:48:14
190,Kamenka,51.3223,42.7678,45.46,85,100,7.05,RU,overcast clouds,2022-10-20 04:51:21
191,Kawalu,-7.3817,108.2082,78.71,84,99,3.98,ID,overcast clouds,2022-10-20 04:51:22
192,Maltahohe,-24.8333,16.9833,70.11,42,5,8.32,NA,clear sky,2022-10-20 04:51:22
193,Shenzhen,22.5455,114.0683,82.26,66,68,7.16,CN,broken clouds,2022-10-20 04:49:28
194,Yaqui,27.3667,-110.1667,79.0,60,4,4.65,MX,clear sky,2022-10-20 04:51:23
195,Dunedin,-45.8742,170.5036,51.8,70,81,10.0,NZ,broken clouds,2022-10-20 04:51:23
196,Ust-Nera,64.5667,143.2,4.21,92,37,4.68,RU,scattered clouds,2022-10-20 04:51:23
197,Mahajanga,-15.7167,46.3167,75.22,53,0,6.91,MG,clear sky,2022-10-20 04:51:24
198,Khatanga,71.9667,102.5,22.75,96,100,1.19,RU,light snow,2022-10-20 04:51:24
199,Lorengau,-2.0226,147.2712,86.0,65,79,9.19,PG,broken clouds,2022-10-20 04:51:24
200,Atbasar,51.8,68.3333,41.92,91,100,8.55,KZ,overcast clouds,2022-10-20 04:51:25
201,Buchanan,5.8808,-10.0467,74.52,92,99,3.69,LR,light rain,2022-10-20 04:51:25
202,Maniitsoq,65.4167,-52.9,22.77,65,6,14.43,GL,clear sky,2022-10-20 04:51:26
203,Montgomery,39.1501,-77.1997,44.31,86,0,3.44,US,clear sky,2022-10-20 04:48:57
204,Montepuez,-13.1256,38.9997,73.13,65,55,4.27,MZ,broken clouds,2022-10-20 04:51:26
205,Ivaipora,-24.2478,-51.6847,63.75,97,100,2.62,BR,moderate rain,2022-10-20 04:51:26
206,Klaksvik,62.2266,-6.589,43.72,73,54,17.2,FO,broken clouds,2022-10-20 04:51:27
207,Roma,43.2128,-75.4557,43.52,79,100,5.75,US,overcast clouds,2022-10-20 04:51:27
208,Shubarkuduk,49.1447,56.4872,52.47,58,89,14.2,KZ,overcast clouds,2022-10-20 04:51:28
209,Palmer,42.1584,-72.3287,43.34,82,0,4.61,US,clear sky,2022-10-20 04:51:28
210,Farsund,58.0948,6.8047,46.94,100,100,1.59,NO,overcast clouds,2022-10-20 04:51:28
211,Izazi,-7.2,35.7333,74.03,52,97,3.22,TZ,overcast clouds,2022-10-20 04:51:29
212,Ende,-8.8432,121.6623,87.4,67,100,3.74,ID,overcast clouds,2022-10-20 04:51:29
213,Georgetown,5.4112,100.3354,89.53,70,20,4.61,MY,few clouds,2022-10-20 04:48:58
214,Troitsko-Pechorsk,62.7084,56.1964,33.73,85,99,9.64,RU,overcast clouds,2022-10-20 04:51:30
215,Geraldton,-28.7667,114.6,72.01,49,100,13.8,AU,overcast clouds,2022-10-20 04:51:30
216,Katsuura,35.1333,140.3,65.46,45,0,8.63,JP,clear sky,2022-10-20 04:51:30
217,Faya,18.3851,42.4509,57.31,23,0,4.41,SA,clear sky,2022-10-20 04:51:31
218,Wajima,37.4,136.9,66.88,42,40,4.61,JP,scattered clouds,2022-10-20 04:51:31
219,Ringebu,61.5167,10.1667,34.43,73,5,2.13,NO,clear sky,2022-10-20 04:51:32
220,Kukushtan,57.6464,56.4952,35.22,81,32,7.49,RU,scattered clouds,2022-10-20 04:51:32
221,Torbay,47.6666,-52.7314,56.28,95,100,13.8,CA,overcast clouds,2022-10-20 04:52:32
222,Kieta,-6.2167,155.6333,84.87,67,48,4.41,PG,scattered clouds,2022-10-20 04:52:33
223,Bathsheba,13.2167,-59.5167,81.21,89,40,13.8,BB,scattered clouds,2022-10-20 04:52:33
224,Acapulco,16.8634,-99.8901,77.88,84,100,13.71,MX,overcast clouds,2022-10-20 04:49:18
225,Grande Prairie,55.1667,-118.8027,57.38,38,75,18.41,CA,smoke,2022-10-20 04:51:14
